date,OT
2023-10-04 04:23:00,4431
2023-10-04 04:24:00,3608
2023-10-04 04:25:00,2422
2023-10-04 04:26:00,3132
2023-10-04 04:27:00,4962
2023-10-04 04:28:00,4881
2023-10-04 04:29:00,5001
2023-10-04 04:30:00,4635
2023-10-04 04:31:00,3545
2023-10-04 04:32:00,2262
2023-10-04 04:33:00,2866
2023-10-04 04:34:00,4692
2023-10-04 04:35:00,4602
2023-10-04 04:36:00,4620
2023-10-04 04:37:00,4475
2023-10-04 04:38:00,3564
2023-10-04 04:39:00,2071
2023-10-04 04:40:00,2659
2023-10-04 04:41:00,4338
2023-10-04 04:42:00,4531
2023-10-04 04:43:00,4498
2023-10-04 04:44:00,4128
2023-10-04 04:45:00,3132
2023-10-04 04:46:00,1829
2023-10-04 04:47:00,2149
2023-10-04 04:48:00,3975
2023-10-04 04:49:00,4046
2023-10-04 04:50:00,3897
2023-10-04 04:51:00,3871
2023-10-04 04:52:00,2630
2023-10-04 04:53:00,1602
2023-10-04 04:54:00,1960
2023-10-04 04:55:00,4143
2023-10-04 04:56:00,4205
2023-10-04 04:57:00,4193
2023-10-04 04:58:00,3710
2023-10-04 04:59:00,3137
2023-10-04 05:00:00,1834
2023-10-04 05:01:00,2070
2023-10-04 05:02:00,4180
2023-10-04 05:03:00,4038
2023-10-04 05:04:00,3906
2023-10-04 05:05:00,3580
2023-10-04 05:06:00,2948
2023-10-04 05:07:00,1622
2023-10-04 05:08:00,2179
2023-10-04 05:09:00,3906
2023-10-04 05:10:00,3745
2023-10-04 05:11:00,4212
2023-10-04 05:12:00,3901
2023-10-04 05:13:00,3292
2023-10-04 05:14:00,1819
2023-10-04 05:15:00,2068
2023-10-04 05:16:00,3991
2023-10-04 05:17:00,4073
2023-10-04 05:18:00,4069
2023-10-04 05:19:00,3716
2023-10-04 05:20:00,3380
2023-10-04 05:21:00,1737
2023-10-04 05:22:00,2181
2023-10-04 05:23:00,3973
2023-10-04 05:24:00,3997
2023-10-04 05:25:00,4132
2023-10-04 05:26:00,3791
2023-10-04 05:27:00,2968
2023-10-04 05:28:00,1752
2023-10-04 05:29:00,2070
2023-10-04 05:30:00,3920
2023-10-04 05:31:00,4106
2023-10-04 05:32:00,4006
2023-10-04 05:33:00,3827
2023-10-04 05:34:00,2944
2023-10-04 05:35:00,1827
2023-10-04 05:36:00,2373
2023-10-04 05:37:00,4031
2023-10-04 05:38:00,4027
2023-10-04 05:39:00,3912
2023-10-04 05:40:00,3867
2023-10-04 05:41:00,3304
2023-10-04 05:42:00,1685
2023-10-04 05:43:00,2130
2023-10-04 05:44:00,3936
2023-10-04 05:45:00,4029
2023-10-04 05:46:00,4010
2023-10-04 05:47:00,4027
2023-10-04 05:48:00,2829
2023-10-04 05:49:00,1736
2023-10-04 05:50:00,2517
2023-10-04 05:51:00,4029
2023-10-04 05:52:00,4261
2023-10-04 05:53:00,4058
2023-10-04 05:54:00,4392
2023-10-04 05:55:00,3072
2023-10-04 05:56:00,1799
2023-10-04 05:57:00,2341
2023-10-04 05:58:00,3330
2023-10-04 05:59:00,4734
2023-10-04 06:00:00,4801
2023-10-04 06:01:00,4399
2023-10-04 06:02:00,3275
2023-10-04 06:03:00,2042
2023-10-04 06:04:00,2827
2023-10-04 06:05:00,4836
2023-10-04 06:06:00,4840
2023-10-04 06:07:00,4504
2023-10-04 06:08:00,4379
2023-10-04 06:09:00,3391
2023-10-04 06:10:00,2045
2023-10-04 06:11:00,2721
2023-10-04 06:12:00,4630
2023-10-04 06:13:00,4748
2023-10-04 06:14:00,4702
2023-10-04 06:15:00,4440
2023-10-04 06:16:00,3513
2023-10-04 06:17:00,2253
2023-10-04 06:18:00,3141
2023-10-04 06:19:00,5122
2023-10-04 06:20:00,5151
2023-10-04 06:21:00,4969
2023-10-04 06:22:00,4619
2023-10-04 06:23:00,3443
2023-10-04 06:24:00,2302
2023-10-04 06:25:00,3291
2023-10-04 06:26:00,5206
2023-10-04 06:27:00,5474
2023-10-04 06:28:00,5400
2023-10-04 06:29:00,5334
2023-10-04 06:30:00,4174
2023-10-04 06:31:00,2571
2023-10-04 06:32:00,3572
2023-10-04 06:33:00,5018
2023-10-04 06:34:00,5565
2023-10-04 06:35:00,5420
2023-10-04 06:36:00,5366
2023-10-04 06:37:00,4091
2023-10-04 06:38:00,2824
2023-10-04 06:39:00,3843
2023-10-04 06:40:00,5516
2023-10-04 06:41:00,5572
2023-10-04 06:42:00,5243
2023-10-04 06:43:00,5133
2023-10-04 06:44:00,4084
2023-10-04 06:45:00,2739
2023-10-04 06:46:00,3781
2023-10-04 06:47:00,5684
2023-10-04 06:48:00,5687
2023-10-04 06:49:00,5906
2023-10-04 06:50:00,5541
2023-10-04 06:51:00,4171
2023-10-04 06:52:00,2586
2023-10-04 06:53:00,3838
2023-10-04 06:54:00,5675
2023-10-04 06:55:00,5624
2023-10-04 06:56:00,5794
2023-10-04 06:57:00,5389
2023-10-04 06:58:00,4305
2023-10-04 06:59:00,3281
2023-10-04 07:00:00,3790
2023-10-04 07:01:00,5894
2023-10-04 07:02:00,5461
2023-10-04 07:03:00,5206
2023-10-04 07:04:00,5228
2023-10-04 07:05:00,4097
2023-10-04 07:06:00,2694
2023-10-04 07:07:00,3893
2023-10-04 07:08:00,6185
2023-10-04 07:09:00,6178
2023-10-04 07:10:00,6067
2023-10-04 07:11:00,5656
2023-10-04 07:12:00,4398
2023-10-04 07:13:00,2836
2023-10-04 07:14:00,3896
2023-10-04 07:15:00,5814
2023-10-04 07:16:00,5879
2023-10-04 07:17:00,4800
2023-10-04 07:18:00,3838
2023-10-04 07:19:00,3576
2023-10-04 07:20:00,2799
2023-10-04 07:21:00,4228
2023-10-04 07:22:00,6331
2023-10-04 07:23:00,6380
2023-10-04 07:24:00,6314
2023-10-04 07:25:00,6160
2023-10-04 07:26:00,4859
2023-10-04 07:27:00,3317
2023-10-04 07:28:00,4715
2023-10-04 07:29:00,6940
2023-10-04 07:30:00,6551
2023-10-04 07:31:00,6327
2023-10-04 07:32:00,6212
2023-10-04 07:33:00,4687
2023-10-04 07:34:00,3014
2023-10-04 07:35:00,4132
2023-10-04 07:36:00,5989
2023-10-04 07:37:00,5331
2023-10-04 07:38:00,5183
2023-10-04 07:39:00,4769
2023-10-04 07:40:00,3627
2023-10-04 07:41:00,1857
2023-10-04 07:42:00,2221
2023-10-04 07:43:00,3335
2023-10-04 07:44:00,2883
2023-10-04 07:45:00,2353
2023-10-04 07:46:00,1578
2023-10-04 07:47:00,1017
2023-10-04 07:48:00,1334
2023-10-04 07:49:00,1690
2023-10-04 07:50:00,2838
2023-10-04 07:51:00,2815
2023-10-04 07:52:00,2382
2023-10-04 07:53:00,1587
2023-10-04 07:54:00,1411
2023-10-04 07:55:00,1838
2023-10-04 07:56:00,2180
2023-10-04 07:57:00,3587
2023-10-04 07:58:00,3855
2023-10-04 07:59:00,3840
2023-10-04 08:00:00,3735
2023-10-04 08:01:00,3223
2023-10-04 08:02:00,2207
2023-10-04 08:03:00,2814
2023-10-04 08:04:00,4007
2023-10-04 08:05:00,4119
2023-10-04 08:06:00,4338
2023-10-04 08:07:00,4432
2023-10-04 08:08:00,3306
